file,depth,alpha,beta,compressed_size,efficiency
canterbury/canterbury/sum,5,0.0001328125,0.493453125,12994,2.7184623431
canterbury/canterbury/ptt5,5,0.927587890625,0.467397949219,51570,0.803875950867
canterbury/canterbury/kennedy.xls,5,-0.0012320098877,0.910786668777,180196,1.39993143927
canterbury/canterbury/cp.html,5,0.000109375,0.49809375,7045,2.2910620656
canterbury/canterbury/alice29.txt,5,0.0005078125,0.443953125,41326,2.17379297648
canterbury/canterbury/xargs.1,5,0.0001875,0.482625,1566,2.96380411639
canterbury/canterbury/plrabn12.txt,5,0.260167739196,0.359352547879,138653,2.30197090032
canterbury/canterbury/asyoulik.txt,5,0.0005478515625,0.479337890625,38476,2.45897474816
canterbury/canterbury/lcet10.txt,5,6.25e-05,0.42075,102423,1.92004995852
canterbury/canterbury/fields.c,5,0.000125,0.383625,2868,2.05811659193
canterbury/canterbury/grammar.lsp,5,0.00046875,0.4269375,1108,2.38296156947
