file,depth,alpha,beta,compressed_size,efficiency
canterbury/canterbury/sum,5,4.248046875e-05,0.49326171875,12994,2.7184623431
canterbury/canterbury/ptt5,5,0.0006044921875,0.62587890625,51829,0.807909340317
canterbury/canterbury/kennedy.xls,5,-0.728724426013,0.96099550055,178859,1.38954730496
canterbury/canterbury/cp.html,5,0.0001328125,0.4984375,7045,2.2910620656
canterbury/canterbury/alice29.txt,5,0.00053125,0.44375,41326,2.17379297648
canterbury/canterbury/xargs.1,5,6.25e-05,0.4875,1566,2.9640406908
canterbury/canterbury/plrabn12.txt,5,0.260106234841,0.359478534758,138653,2.30197090032
canterbury/canterbury/asyoulik.txt,5,0.000484375,0.478125,38476,2.45898273672
canterbury/canterbury/lcet10.txt,5,0.000324909210205,0.419459533691,102423,1.92004761525
canterbury/canterbury/fields.c,5,0.00017138671875,0.3849609375,2868,2.05802690583
canterbury/canterbury/grammar.lsp,5,8.60595703125e-05,0.424072265625,1108,2.38269282451
