file,replication,compressor,wall_runtime,cpu_runtime,memory
single_language/genji/chapter2.txt,13,lzw_uniform_byte,0.9496867656707764,1.844,91700
single_language/genji/chapter2.txt,13,ppm_training_group_opt_polya_stoken_uniform_byte,2.604044198989868,5.912,151344
single_language/genji/chapter2.txt,13,ppm_training_group_opt_uniform_byte,1.1136970520019531,2.592,104040
single_language/genji/chapter2.txt,14,lzw_polya_stoken_uniform_byte,1.997770071029663,4.904,165992
single_language/genji/chapter2.txt,14,lzw_uniform_byte,0.8987386226654053,1.708,83952
single_language/genji/chapter2.txt,14,ppm_training_group_opt_polya_stoken_uniform_byte,2.4745631217956543,6.1,154592
single_language/genji/chapter2.txt,14,ppm_training_group_opt_uniform_byte,1.0488474369049072,2.392,101836
single_language/genji/chapter2.txt,15,lzw_polya_stoken_uniform_byte,1.9508247375488281,5.084,149280
single_language/genji/chapter2.txt,15,lzw_uniform_byte,0.8961570262908936,1.772,89356
single_language/genji/chapter2.txt,15,ppm_training_group_opt_polya_stoken_uniform_byte,2.5227389335632324,6.036,155080
single_language/genji/chapter2.txt,15,ppm_training_group_opt_uniform_byte,1.1649558544158936,2.528,102220
single_language/genji/chapter2.txt,16,lzw_polya_stoken_uniform_byte,1.7986562252044678,4.556,135580
single_language/genji/chapter2.txt,16,lzw_uniform_byte,0.8950409889221191,1.748,91176
single_language/genji/chapter2.txt,16,ppm_training_group_opt_polya_stoken_uniform_byte,2.3553926944732666,5.9879999999999995,156500
single_language/genji/chapter2.txt,16,ppm_training_group_opt_uniform_byte,1.099085807800293,2.48,100504
single_language/genji/chapter2.txt,17,lzw_polya_stoken_uniform_byte,1.908726692199707,4.764,142052
single_language/genji/chapter2.txt,17,lzw_uniform_byte,0.9684929847717285,1.832,91200
single_language/genji/chapter2.txt,17,ppm_training_group_opt_polya_stoken_uniform_byte,2.4563071727752686,5.812,151728
single_language/genji/chapter2.txt,17,ppm_training_group_opt_uniform_byte,1.1976141929626465,2.532,98888
single_language/genji/chapter2.txt,18,lzw_polya_stoken_uniform_byte,1.9707529544830322,4.924,155308
single_language/genji/chapter2.txt,18,lzw_uniform_byte,0.9563267230987549,1.828,88048
single_language/genji/chapter2.txt,18,ppm_training_group_opt_polya_stoken_uniform_byte,2.557664632797241,6.096,154772
single_language/genji/chapter2.txt,18,ppm_training_group_opt_uniform_byte,1.0986850261688232,2.488,101980
single_language/genji/chapter2.txt,19,lzw_polya_stoken_uniform_byte,2.002634286880493,4.848,156100
single_language/genji/chapter2.txt,19,lzw_uniform_byte,0.9029858112335205,1.832,88928
single_language/genji/chapter2.txt,19,ppm_training_group_opt_polya_stoken_uniform_byte,2.401338577270508,6.055999999999999,151696
single_language/genji/chapter2.txt,19,ppm_training_group_opt_uniform_byte,1.1463570594787598,2.464,103364
