file,depth,alpha,beta,compressed_size,efficiency
canterbury/canterbury/sum,5,-0.355216899671,0.618790707237,12895,2.69777719665
canterbury/canterbury/ptt5,5,0.913435444079,0.471328741776,51570,0.803875950867
canterbury/canterbury/kennedy.xls,5,-0.731967720233,0.961500780005,178859,1.38954730496
canterbury/canterbury/cp.html,5,-0.169490131579,0.553455592105,7034,2.28728203878
canterbury/canterbury/alice29.txt,5,0.125006836339,0.401506130821,41303,2.17257658345
canterbury/canterbury/xargs.1,5,-0.157894736842,0.547105263158,1565,2.96214809558
canterbury/canterbury/plrabn12.txt,5,0.268655475817,0.357599162052,138653,2.30197297561
canterbury/canterbury/asyoulik.txt,5,0.211297286184,0.412445723684,38420,2.45538788455
canterbury/canterbury/lcet10.txt,5,0.0531866776316,0.400884868421,102412,1.91984843727
canterbury/canterbury/fields.c,5,-0.321217105263,0.533753289474,2845,2.04179372197
canterbury/canterbury/grammar.lsp,5,-0.157894736842,0.492394736842,1103,2.37328675087
