depth,alpha,beta,efficiency,status
0,3.15,0.418,2.39485988222,Normal
1,0.758333333333,0.50875,1.96141212677,Normal
2,0.593663194444,0.578359375,1.87029858255,Normal
3,0.36875,0.61875,1.87695676619,Normal
4,0.351041666667,0.622875,1.88731394076,Normal
5,0.360416666667,0.61875,1.89117568727,Normal
6,0.3515625,0.6208125,1.89240375226,Normal
7,0.34140625,0.62390625,1.89272926346,Normal
8,0.347493489583,0.62197265625,1.89278844731,Normal
9,0.359375,0.622875,1.8928328352,Normal
